HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank,Development Bucket
1,Norway,0.949,81.7,17.7,12.7,"67,614",5,1,VERY HIGH HUMAN DEVELOPMENT
2,Australia,0.939,82.5,20.4,13.2,"42,822",19,3,VERY HIGH HUMAN DEVELOPMENT
2,Switzerland,0.939,83.1,16.0,13.4,"56,364",7,2,VERY HIGH HUMAN DEVELOPMENT
4,Germany,0.926,81.1,17.1,13.2,"45,000",13,4,VERY HIGH HUMAN DEVELOPMENT
5,Denmark,0.925,80.4,19.2,12.7,"44,519",13,6,VERY HIGH HUMAN DEVELOPMENT
5,Singapore,0.925,83.2,15.4,11.6,"78,162",-3,4,VERY HIGH HUMAN DEVELOPMENT
7,Netherlands,0.924,81.7,18.1,11.9,"46,326",8,6,VERY HIGH HUMAN DEVELOPMENT
8,Ireland,0.923,81.1,18.6,12.3,"43,798",11,8,VERY HIGH HUMAN DEVELOPMENT
9,Iceland,0.921,82.7,19.0,12.2,"37,065",20,9,VERY HIGH HUMAN DEVELOPMENT
10,Canada,0.920,82.2,16.3,13.1,"42,582",12,9,VERY HIGH HUMAN DEVELOPMENT
10,United States,0.920,79.2,16.5,13.2,"53,245",1,11,VERY HIGH HUMAN DEVELOPMENT
12,"Hong Kong, China (SAR)",0.917,84.2,15.7,11.6,"54,265",-2,12,VERY HIGH HUMAN DEVELOPMENT
13,New Zealand,0.915,82.0,19.2,12.5,"32,870",20,13,VERY HIGH HUMAN DEVELOPMENT
14,Sweden,0.913,82.3,16.1,12.3,"46,251",2,15,VERY HIGH HUMAN DEVELOPMENT
15,Liechtenstein,0.912,80.2,14.6,12.4,"75,065",-11,14,VERY HIGH HUMAN DEVELOPMENT
16,United Kingdom,0.909,80.8,16.3,13.3,"37,931",10,16,VERY HIGH HUMAN DEVELOPMENT
17,Japan,0.903,83.7,15.3,12.5,"37,268",10,17,VERY HIGH HUMAN DEVELOPMENT
18,Korea (Republic of),0.901,82.1,16.6,12.2,"34,541",12,18,VERY HIGH HUMAN DEVELOPMENT
19,Israel,0.899,82.6,16.0,12.8,"31,215",16,19,VERY HIGH HUMAN DEVELOPMENT
20,Luxembourg,0.898,81.9,13.9,12.0,"62,471",-12,20,VERY HIGH HUMAN DEVELOPMENT
21,France,0.897,82.4,16.3,11.6,"38,085",4,22,VERY HIGH HUMAN DEVELOPMENT
22,Belgium,0.896,81.0,16.6,11.4,"41,243",1,21,VERY HIGH HUMAN DEVELOPMENT
23,Finland,0.895,81.0,17.0,11.2,"38,868",1,23,VERY HIGH HUMAN DEVELOPMENT
24,Austria,0.893,81.6,15.9,11.3,"43,609",-4,24,VERY HIGH HUMAN DEVELOPMENT
25,Slovenia,0.890,80.6,17.3,12.1,"28,664",13,25,VERY HIGH HUMAN DEVELOPMENT
26,Italy,0.887,83.3,16.3,10.9,"33,573",6,27,VERY HIGH HUMAN DEVELOPMENT
27,Spain,0.884,82.8,17.7,9.8,"32,779",7,26,VERY HIGH HUMAN DEVELOPMENT
28,Czech Republic,0.878,78.8,16.8,12.3,"28,144",11,28,VERY HIGH HUMAN DEVELOPMENT
