INDICATOR|CODE

Adjusted net intake rate (%). Primary. Female|UIS_NIRA_1_F
Adjusted net intake rate (%). Primary. Male|UIS_NIRA_1_M
Adjusted net intake rate (%). Primary. Total|UIS_NIRA_1
Adult illiterate population. % female|UIS_LPP_AG15T99
Adult illiterate population. Female|UIS_LP_AG15T99_F
Adult illiterate population. Male|UIS_LP_AG15T99_M
Adult illiterate population. Total|UIS_LP_AG15T99
average years of primary schooling, 15-19, female|BAR_PRM_SCHL_1519_FE
average years of primary schooling, 15-19, total|BAR_PRM_SCHL_1519
average years of primary schooling, 15+, female|BAR_PRM_SCHL_15UP_FE
average years of primary schooling, 15+, total|BAR_PRM_SCHL_15UP
average years of primary schooling, 20-24, female|BAR_PRM_SCHL_2024_FE
average years of primary schooling, 20-24, total|BAR_PRM_SCHL_2024
average years of primary schooling, 25-29, female|BAR_PRM_SCHL_2529_FE
average years of primary schooling, 25-29, total|BAR_PRM_SCHL_2529
average years of primary schooling, 25+, female|BAR_PRM_SCHL_25UP_FE
average years of primary schooling, 25+, total|BAR_PRM_SCHL_25UP
average years of primary schooling, 30-34, female|BAR_PRM_SCHL_3034_FE
average years of primary schooling, 30-34, total|BAR_PRM_SCHL_3034
average years of primary schooling, 35-39, female|BAR_PRM_SCHL_3539_FE
average years of primary schooling, 35-39, total|BAR_PRM_SCHL_3539
average years of primary schooling, 40-44, female|BAR_PRM_SCHL_4044_FE
average years of primary schooling, 40-44, total|BAR_PRM_SCHL_4044
average years of primary schooling, 45-49, female|BAR_PRM_SCHL_4549_FE
average years of primary schooling, 45-49, total|BAR_PRM_SCHL_4549
average years of primary schooling, 50-54, female|BAR_PRM_SCHL_5054_FE
average years of primary schooling, 50-54, total|BAR_PRM_SCHL_5054
average years of primary schooling, 55-59, female|BAR_PRM_SCHL_5559_FE
average years of primary schooling, 55-59, total|BAR_PRM_SCHL_5559
average years of primary schooling, 60-64, female|BAR_PRM_SCHL_6064_FE
average years of primary schooling, 60-64, total|BAR_PRM_SCHL_6064
average years of primary schooling, 65-69, female|BAR_PRM_SCHL_6569_FE
average years of primary schooling, 65-69, total|BAR_PRM_SCHL_6569
average years of primary schooling, 70-74, female|BAR_PRM_SCHL_7074_FE
average years of primary schooling, 70-74, total|BAR_PRM_SCHL_7074
average years of primary schooling, 75+, female|BAR_PRM_SCHL_75UP_FE
average years of primary schooling, 75+, total|BAR_PRM_SCHL_75UP
